Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Maintenance/Button Message""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Button List""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/List Subscribed""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/List Member""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Button Profile""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Tweet and Replies""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Profile - Media""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Profile - Likes""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Button Home""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
